const,SquareFootage,NumBedrooms,IsLuxury
1.0,1258.66,3,0
1.0,550.0,1,1
1.0,550.0,4,0
1.0,630.03,3,0
1.0,1722.21,3,0
1.0,550.0,4,0
1.0,603.44,3,1
1.0,550.0,1,0
1.0,879.8,2,0
1.0,550.0,3,0
1.0,1230.69,4,1
1.0,2137.72,3,1
1.0,1057.2,5,1
1.0,913.16,2,1
1.0,957.72,3,1
1.0,1066.25,4,0
1.0,1441.86,3,1
1.0,1048.33,4,1
1.0,1316.69,4,0
1.0,637.96,1,1
1.0,1368.39,4,1
1.0,1001.67,2,1
1.0,1812.59,2,1
1.0,939.55,5,1
1.0,1125.06,1,1
1.0,1269.84,3,0
1.0,1247.08,5,1
1.0,916.2,4,0
1.0,1375.84,2,0
1.0,550.0,3,1
1.0,732.92,2,0
1.0,975.15,1,1
1.0,1868.73,3,1
1.0,909.16,3,0
1.0,979.58,3,0
1.0,1931.09,5,1
1.0,1769.01,3,1
1.0,936.96,5,1
1.0,873.02,2,0
1.0,937.32,3,0
1.0,891.62,4,1
1.0,550.0,2,0
1.0,550.0,2,0
1.0,696.5,2,1
1.0,550.0,2,0
1.0,550.0,2,0
1.0,1457.95,1,1
1.0,696.81,4,1
1.0,1041.16,2,0
1.0,1655.1,4,1
1.0,1509.02,5,0
1.0,561.16,5,0
1.0,1331.4,4,1
1.0,1404.98,2,1
1.0,550.0,3,0
1.0,869.01,4,0
1.0,765.65,3,0
1.0,1099.81,1,0
1.0,1481.33,3,0
1.0,550.0,4,1
1.0,1356.47,4,1
1.0,1259.29,5,1
1.0,1173.15,4,1
1.0,550.0,4,0
1.0,1842.17,4,1
1.0,1301.32,3,0
1.0,1010.17,4,1
1.0,1167.09,2,0
1.0,550.0,4,1
1.0,1219.82,4,0
1.0,1154.99,3,0
1.0,925.54,2,0
1.0,1995.41,4,0
1.0,939.61,4,1
1.0,1655.56,3,1
1.0,1653.71,2,1
1.0,2069.92,5,0
1.0,550.0,1,0
1.0,1592.1,2,1
1.0,1177.13,3,0
1.0,550.0,4,0
1.0,550.0,4,0
1.0,1952.56,4,0
1.0,974.62,3,1
1.0,1442.25,3,1
1.0,2170.86,6,1
1.0,700.38,2,0
1.0,943.64,2,0
1.0,955.04,4,1
1.0,736.19,3,1
1.0,1939.46,4,1
1.0,1362.96,5,1
1.0,550.0,4,1
1.0,1255.38,4,1
1.0,1588.03,3,1
1.0,1505.35,4,0
1.0,550.0,4,0
1.0,550.0,3,1
1.0,654.07,3,0
1.0,1012.69,3,0
1.0,1052.32,2,0
1.0,728.55,2,0
1.0,1381.83,3,0
1.0,1236.0,3,0
1.0,1168.46,1,0
1.0,600.25,4,0
1.0,904.42,3,0
1.0,550.0,4,1
1.0,1723.29,2,1
1.0,742.01,3,0
1.0,876.01,4,0
1.0,920.33,4,0
1.0,662.53,2,1
1.0,1437.02,5,1
1.0,1057.49,4,1
1.0,1412.1,3,1
1.0,1865.64,5,1
1.0,1343.09,4,1
1.0,561.26,2,0
1.0,1154.96,1,0
1.0,1138.68,4,1
1.0,1806.26,3,1
1.0,550.0,1,0
1.0,762.18,4,1
1.0,1021.28,1,0
1.0,1257.82,3,1
1.0,768.6,2,0
1.0,1705.01,2,1
1.0,1318.78,3,1
1.0,1396.01,5,1
1.0,664.28,2,0
1.0,964.97,3,1
1.0,785.82,5,1
1.0,801.77,5,1
1.0,1281.8,3,1
1.0,1033.09,2,1
1.0,1169.45,3,1
1.0,550.0,2,0
1.0,1125.23,4,1
1.0,1261.09,3,1
1.0,586.41,3,1
1.0,1225.68,2,0
1.0,550.0,3,0
1.0,796.75,1,0
1.0,550.0,3,0
1.0,748.14,3,0
1.0,782.04,2,0
1.0,1581.56,4,1
1.0,826.67,4,1
1.0,1151.93,3,1
1.0,1231.08,5,1
1.0,550.0,1,0
1.0,1162.8,4,0
1.0,1062.47,1,0
1.0,810.88,2,0
1.0,643.02,3,0
1.0,550.0,3,0
1.0,550.0,3,0
1.0,550.0,3,0
1.0,1208.45,3,1
1.0,550.0,4,0
1.0,1370.13,4,1
1.0,576.05,2,0
1.0,1295.0,2,1
1.0,676.49,4,1
1.0,965.44,2,0
1.0,939.03,4,0
1.0,1085.52,4,1
1.0,1953.8,3,1
1.0,690.37,1,0
1.0,963.92,5,1
1.0,1499.56,3,1
1.0,550.0,3,0
1.0,1247.11,4,1
1.0,878.0,3,0
1.0,550.0,2,0
1.0,1403.53,2,0
1.0,906.93,1,0
1.0,550.0,5,0
1.0,661.11,4,1
1.0,1280.96,2,0
1.0,1778.96,3,1
1.0,1320.1,3,0
1.0,858.35,4,1
1.0,1956.12,4,1
1.0,550.0,3,0
1.0,1110.45,3,1
1.0,1164.13,1,1
1.0,1651.53,4,1
1.0,1590.37,2,1
1.0,603.82,3,1
1.0,1647.31,4,1
1.0,873.9,3,0
1.0,550.0,4,1
1.0,988.76,3,1
1.0,1891.21,4,1
1.0,1180.83,3,0
1.0,1272.81,3,1
1.0,1044.43,3,0
1.0,550.0,2,0
1.0,1617.38,2,1
1.0,577.36,4,0
1.0,550.0,3,0
1.0,550.0,3,0
1.0,550.0,2,0
1.0,550.0,2,0
1.0,874.34,1,0
1.0,550.0,5,1
1.0,2068.82,5,1
1.0,550.0,2,0
1.0,1162.7,3,0
1.0,550.0,2,0
1.0,1100.88,3,0
1.0,734.59,3,0
1.0,550.0,2,0
1.0,1726.12,2,1
1.0,1262.83,2,0
1.0,1207.93,4,1
1.0,778.54,3,0
1.0,1377.9,5,1
1.0,1386.37,3,1
1.0,642.36,3,0
1.0,860.54,3,0
1.0,550.0,3,0
1.0,708.47,3,1
1.0,816.16,2,0
1.0,1214.59,3,1
1.0,550.0,3,0
1.0,550.0,2,0
1.0,1726.85,3,1
1.0,1143.1,4,1
1.0,550.0,3,0
1.0,1653.32,3,1
1.0,550.0,2,0
1.0,1332.25,3,0
1.0,1184.13,2,0
1.0,957.1,6,1
1.0,550.0,4,0
1.0,725.74,3,0
1.0,1119.65,2,0
1.0,1333.3,3,1
1.0,879.37,3,0
1.0,550.0,1,1
1.0,2010.62,4,1
1.0,550.0,1,0
1.0,982.12,2,0
1.0,1198.87,3,1
1.0,831.53,3,1
1.0,1486.63,4,1
1.0,1366.81,4,1
1.0,821.19,4,1
1.0,1258.17,4,0
1.0,1690.71,4,1
1.0,550.0,3,0
1.0,728.22,5,1
1.0,550.0,3,0
1.0,639.37,4,0
1.0,891.4,2,0
1.0,907.52,4,0
1.0,662.79,2,0
1.0,1228.64,3,1
1.0,550.0,3,0
1.0,1025.74,2,1
1.0,1301.89,4,1
1.0,1866.75,3,1
1.0,908.42,3,0
1.0,732.5,3,0
1.0,1398.64,3,1
1.0,575.16,3,0
1.0,1058.22,3,1
1.0,628.32,4,0
1.0,1629.07,3,1
1.0,1139.31,4,1
1.0,1480.25,3,0
1.0,658.34,2,0
1.0,623.77,3,0
1.0,576.65,3,0
1.0,550.0,3,0
1.0,550.0,3,1
1.0,1709.55,3,0
1.0,1139.91,3,1
1.0,969.5,3,1
1.0,550.0,5,1
1.0,793.35,1,0
1.0,1116.57,3,1
1.0,1310.88,3,1
1.0,1289.15,3,1
1.0,1885.27,3,0
1.0,765.63,3,1
1.0,968.74,2,0
1.0,1489.29,3,1
1.0,1858.88,1,1
1.0,752.01,4,0
1.0,1417.48,2,1
1.0,1594.27,2,1
1.0,611.64,2,0
1.0,859.94,1,0
1.0,1491.55,2,1
1.0,1446.86,5,1
1.0,550.0,3,0
1.0,908.6,3,1
1.0,1423.6,3,1
1.0,1574.03,3,0
1.0,550.0,3,0
1.0,677.71,3,0
1.0,690.37,2,1
1.0,2170.18,2,1
1.0,1840.34,1,0
1.0,1632.39,3,1
1.0,1005.43,3,0
1.0,998.18,5,0
1.0,1093.75,2,0
1.0,1348.39,4,1
1.0,581.94,4,1
1.0,550.0,4,1
1.0,1302.39,4,1
1.0,1625.16,4,1
1.0,1205.99,1,0
1.0,550.0,4,0
1.0,1269.8,2,0
1.0,1463.33,3,0
1.0,771.18,3,1
1.0,757.67,3,0
1.0,768.03,3,1
1.0,550.0,3,0
1.0,918.94,3,1
1.0,760.38,2,0
1.0,888.96,5,1
1.0,1610.1,1,0
1.0,550.0,3,0
1.0,1505.2,3,0
1.0,1204.99,2,0
1.0,1745.5,4,1
1.0,2269.73,2,1
1.0,550.0,5,0
1.0,708.12,4,1
1.0,1646.72,3,1
1.0,614.7,4,0
1.0,720.33,4,1
1.0,1025.38,5,1
1.0,1456.45,2,0
1.0,1395.58,2,1
1.0,550.0,5,1
1.0,1055.06,3,1
1.0,1659.19,3,1
1.0,1098.69,4,1
1.0,1809.95,3,1
1.0,1326.29,4,1
1.0,651.05,4,0
1.0,550.0,4,1
1.0,870.25,2,1
1.0,1450.56,3,1
1.0,550.0,2,1
1.0,1195.22,4,1
1.0,550.0,4,0
1.0,1168.86,2,1
1.0,1242.17,4,0
1.0,917.28,3,0
1.0,550.0,2,0
1.0,1139.91,2,0
1.0,939.78,4,1
1.0,550.0,2,0
1.0,895.52,4,1
1.0,550.0,3,1
1.0,747.84,2,0
1.0,1599.49,1,1
1.0,823.7,3,0
1.0,550.0,2,0
1.0,678.06,2,0
1.0,550.0,2,0
1.0,1965.15,3,1
1.0,770.2,4,0
1.0,1809.96,6,1
1.0,884.33,3,0
1.0,755.0,4,1
1.0,1212.97,4,1
1.0,1852.27,3,1
1.0,550.0,3,0
1.0,666.18,2,0
1.0,1338.96,1,1
1.0,550.0,2,0
1.0,924.97,2,0
1.0,1591.14,4,1
1.0,1237.01,3,1
1.0,778.67,2,0
1.0,550.0,1,1
1.0,550.0,3,1
1.0,550.0,4,0
1.0,749.67,3,0
1.0,986.24,2,0
1.0,1015.29,5,1
1.0,1379.86,3,1
1.0,834.25,4,1
1.0,1743.48,3,1
1.0,1499.48,4,1
1.0,550.0,2,0
1.0,550.0,1,0
1.0,1507.28,4,1
1.0,550.0,3,1
1.0,667.13,2,1
1.0,1105.77,2,0
1.0,1380.55,3,0
1.0,1192.28,3,1
1.0,550.0,2,0
1.0,1269.76,3,0
1.0,926.57,4,1
1.0,550.0,3,0
1.0,1178.57,2,0
1.0,1092.1,2,0
1.0,1022.56,3,0
1.0,550.0,3,0
1.0,1530.81,4,1
1.0,2163.35,4,1
1.0,1450.43,2,0
1.0,1743.58,3,1
1.0,1036.05,3,1
1.0,550.0,3,0
1.0,1055.65,1,0
1.0,1171.54,4,1
1.0,734.98,3,0
1.0,1128.16,2,0
1.0,1131.51,2,0
1.0,940.02,2,0
1.0,975.57,2,0
1.0,747.48,3,0
1.0,585.81,2,0
1.0,550.0,4,1
1.0,1703.66,4,1
1.0,902.27,5,1
1.0,1695.37,5,1
1.0,1314.72,4,0
1.0,550.0,4,0
1.0,827.25,3,0
1.0,1159.68,3,0
1.0,1096.07,5,1
1.0,550.0,2,0
1.0,550.0,3,0
1.0,1276.99,4,0
1.0,1156.34,2,1
1.0,885.44,4,1
1.0,902.24,4,0
1.0,1511.89,3,1
1.0,550.0,3,0
1.0,1201.96,2,0
1.0,1399.62,3,0
1.0,891.59,2,1
1.0,792.58,2,0
1.0,1138.98,4,1
1.0,1074.5,3,1
1.0,1417.73,4,1
1.0,1016.92,3,1
1.0,1138.0,4,1
1.0,862.05,4,1
1.0,801.11,4,0
1.0,737.11,4,1
1.0,1756.7,4,1
1.0,550.0,4,1
1.0,1427.16,3,0
1.0,550.0,3,0
1.0,550.0,3,1
1.0,1273.14,3,0
1.0,1278.89,3,0
1.0,1465.35,3,1
1.0,1103.23,2,0
1.0,1559.91,4,1
1.0,550.0,3,0
1.0,878.21,1,0
1.0,1454.36,2,1
1.0,876.67,4,0
1.0,849.06,2,0
1.0,1055.31,5,1
1.0,1473.2,3,0
1.0,1089.88,3,1
1.0,984.42,4,0
1.0,995.68,3,0
1.0,613.33,4,1
1.0,564.44,1,0
1.0,1657.16,2,1
1.0,2295.73,3,1
1.0,550.0,3,0
1.0,924.7,4,0
1.0,550.0,3,0
1.0,1153.69,6,1
1.0,1301.39,2,1
1.0,850.91,4,1
1.0,943.89,3,0
1.0,550.0,3,1
1.0,648.46,2,1
1.0,1659.3,5,1
1.0,1109.34,3,0
1.0,1026.36,5,1
1.0,682.33,2,0
1.0,1261.06,3,0
1.0,952.97,3,1
1.0,1385.27,4,1
1.0,642.63,2,0
1.0,652.25,3,0
1.0,1140.39,3,0
1.0,550.0,2,1
1.0,681.71,4,1
1.0,550.0,5,1
1.0,2061.42,2,0
1.0,890.09,4,1
1.0,670.91,3,1
1.0,996.24,3,1
1.0,1557.12,3,1
1.0,678.71,4,0
1.0,1199.79,3,0
1.0,1198.92,2,0
1.0,1251.03,3,1
1.0,1587.13,3,1
1.0,550.0,4,1
1.0,550.0,2,0
1.0,579.11,3,0
1.0,714.24,2,0
1.0,1709.18,4,1
1.0,895.85,4,1
1.0,1152.58,3,0
1.0,550.0,3,0
1.0,1124.14,3,0
1.0,1724.89,3,1
1.0,550.0,3,0
1.0,1133.71,5,1
1.0,625.88,2,0
1.0,1384.97,2,0
1.0,976.35,3,0
1.0,550.0,3,1
1.0,550.0,4,0
1.0,1648.37,2,0
1.0,975.2,3,1
1.0,650.07,3,0
1.0,724.62,3,0
1.0,1250.06,2,1
1.0,1419.79,2,0
1.0,550.0,2,0
1.0,825.43,2,0
1.0,1267.94,5,1
1.0,550.0,6,1
1.0,2240.87,1,0
1.0,1026.14,3,0
1.0,1009.33,4,1
1.0,1966.16,1,0
1.0,1001.9,4,1
1.0,653.45,2,1
1.0,1403.85,3,1
1.0,720.92,2,0
1.0,896.7,3,0
1.0,934.57,1,0
1.0,1865.22,3,1
1.0,805.65,1,0
1.0,550.0,4,0
1.0,1383.96,4,1
1.0,663.24,2,1
1.0,2015.84,5,1
1.0,1593.51,2,0
1.0,782.9,3,1
1.0,2398.23,5,1
1.0,1578.04,4,1
1.0,1004.49,3,1
1.0,997.36,3,0
1.0,929.41,3,0
1.0,1258.89,3,0
1.0,1011.74,3,0
1.0,1484.17,4,0
1.0,550.0,4,1
1.0,635.71,5,1
1.0,1049.26,4,0
1.0,550.0,2,1
1.0,1496.53,5,1
1.0,1162.89,4,1
1.0,550.0,3,1
1.0,690.05,1,0
1.0,804.9,3,0
1.0,1065.81,2,0
1.0,915.33,4,1
1.0,1920.34,3,1
1.0,1068.86,3,0
1.0,1175.28,4,1
1.0,550.0,4,1
1.0,550.0,2,0
1.0,781.76,5,1
1.0,1987.99,4,1
1.0,1575.75,4,1
1.0,1722.27,3,0
1.0,846.6,3,0
1.0,661.87,4,1
1.0,550.0,5,0
1.0,907.68,3,0
1.0,1225.45,3,1
1.0,550.0,3,0
1.0,550.0,3,1
1.0,550.0,4,1
1.0,1173.08,2,1
1.0,550.0,3,0
1.0,726.25,2,0
1.0,1366.27,3,1
1.0,1506.08,4,1
1.0,856.67,3,1
1.0,1666.44,3,1
1.0,837.24,3,0
1.0,588.25,3,0
1.0,1470.97,4,1
1.0,1016.49,3,1
1.0,1152.85,3,1
1.0,1084.17,2,0
1.0,1807.95,3,0
1.0,550.0,3,0
1.0,1165.21,3,1
1.0,585.01,2,0
1.0,550.0,3,0
1.0,550.0,2,0
1.0,850.67,3,1
1.0,1230.48,3,0
1.0,1036.2,4,0
1.0,550.0,4,0
1.0,2816.76,1,1
1.0,1522.63,5,1
1.0,600.38,3,1
1.0,550.0,2,0
1.0,897.24,3,1
1.0,754.31,4,0
1.0,1289.57,3,1
1.0,1063.24,3,0
1.0,696.07,2,0
1.0,795.11,4,1
1.0,912.52,2,0
1.0,857.66,4,1
1.0,1258.83,2,1
1.0,1676.03,5,1
1.0,813.95,4,1
1.0,788.01,3,0
1.0,576.91,2,0
1.0,872.78,3,1
1.0,2057.02,4,0
1.0,1651.12,2,1
1.0,688.09,3,1
1.0,550.0,4,0
1.0,1194.06,3,0
1.0,1449.62,4,1
1.0,1447.61,4,1
1.0,1070.65,2,1
1.0,1212.51,1,1
1.0,550.0,3,1
1.0,1086.8,4,1
1.0,550.0,5,0
1.0,1165.33,2,0
1.0,833.44,3,1
1.0,960.37,3,1
1.0,805.92,5,1
1.0,550.0,3,0
1.0,1041.61,5,0
1.0,1523.17,4,1
1.0,996.16,2,1
1.0,857.2,3,0
1.0,758.47,3,1
1.0,550.0,3,1
1.0,550.0,4,0
1.0,1316.87,4,1
1.0,1050.07,4,1
1.0,672.98,1,0
1.0,550.0,3,0
1.0,1434.89,3,1
1.0,550.0,2,0
1.0,550.0,3,0
1.0,550.0,4,0
1.0,844.14,2,0
1.0,1053.33,2,1
1.0,1406.52,3,1
1.0,550.0,2,0
1.0,1022.52,4,1
1.0,550.0,4,1
1.0,1584.58,5,1
1.0,1608.94,5,0
1.0,1128.87,4,1
1.0,1274.43,4,1
1.0,1871.75,4,1
1.0,731.64,3,0
1.0,550.0,5,0
1.0,601.22,2,0
1.0,1810.83,4,1
1.0,550.0,3,0
1.0,965.59,2,0
1.0,1291.47,4,1
1.0,995.09,3,0
1.0,550.0,2,0
1.0,1383.97,4,1
1.0,550.0,1,1
1.0,550.0,3,1
1.0,1346.8,4,1
1.0,1636.48,2,0
1.0,1445.21,4,1
1.0,617.7,1,0
1.0,1415.76,4,1
1.0,1928.68,3,1
1.0,834.38,3,0
1.0,933.54,3,0
1.0,612.06,4,1
1.0,550.0,3,1
1.0,1643.35,3,1
1.0,634.81,5,1
1.0,1314.28,4,0
1.0,1758.77,4,1
1.0,1382.66,2,1
1.0,612.66,2,0
1.0,725.59,3,0
1.0,1648.57,1,0
1.0,663.52,5,1
1.0,1360.17,3,1
1.0,680.25,3,1
1.0,550.0,4,0
1.0,857.01,2,0
1.0,792.58,4,0
1.0,957.99,4,1
1.0,559.57,3,0
1.0,1204.79,5,1
1.0,1342.22,2,0
1.0,556.89,2,0
1.0,1494.94,2,0
1.0,1461.93,3,0
1.0,1790.88,2,1
1.0,915.44,3,0
1.0,1013.51,2,0
1.0,1086.21,4,1
1.0,1241.63,2,1
1.0,550.0,3,0
1.0,550.0,3,0
1.0,879.48,4,1
1.0,550.0,2,0
1.0,1663.91,3,0
1.0,638.38,4,1
1.0,1202.03,1,0
1.0,1140.45,4,1
1.0,550.0,3,1
1.0,1163.6,4,1
1.0,550.0,1,0
1.0,860.83,6,1
1.0,1431.12,4,1
1.0,1161.07,1,0
1.0,550.0,3,0
1.0,1438.23,3,0
1.0,1345.99,3,1
1.0,1179.79,3,1
1.0,1043.59,4,1
1.0,714.9,3,1
1.0,718.51,3,1
1.0,1337.46,3,1
1.0,617.43,1,0
1.0,550.0,5,1
1.0,550.0,3,0
1.0,559.1,1,0
1.0,1860.12,4,1
1.0,1177.16,2,1
1.0,896.66,2,0
1.0,624.05,2,0
1.0,2004.49,3,1
1.0,550.0,4,0
1.0,550.0,2,0
1.0,1498.46,5,1
1.0,644.63,3,1
1.0,1505.14,3,0
1.0,1099.56,3,1
1.0,1919.08,4,1
1.0,792.4,3,1
1.0,1486.85,3,1
1.0,1251.83,2,0
1.0,938.79,3,1
1.0,874.22,3,0
1.0,1013.74,5,0
1.0,579.17,3,1
1.0,1183.73,2,1
1.0,1044.76,3,1
1.0,550.0,4,0
1.0,1022.41,3,1
1.0,810.43,4,1
1.0,1246.98,3,1
1.0,976.2,2,0
1.0,1565.14,4,1
1.0,1232.61,3,0
1.0,1335.3,4,1
1.0,550.0,4,1
1.0,605.16,2,1
1.0,550.0,2,0
1.0,1371.3,4,1
1.0,811.64,1,0
1.0,962.85,3,1
1.0,996.4,2,0
1.0,1575.36,2,0
1.0,875.41,4,0
1.0,812.78,4,1
1.0,691.66,2,0
1.0,1447.9,3,1
1.0,1505.89,1,1
1.0,1995.6,3,1
1.0,680.27,2,0
1.0,1496.88,5,1
1.0,590.26,4,1
1.0,1229.94,2,1
1.0,761.51,4,1
1.0,550.0,1,0
1.0,1411.12,4,1
1.0,826.42,3,0
1.0,1475.81,4,0
1.0,550.0,4,1
1.0,1216.33,4,1
1.0,550.0,3,0
1.0,1115.77,3,0
1.0,985.17,2,0
1.0,1125.46,3,0
1.0,2592.94,3,1
1.0,950.35,3,1
1.0,1378.36,2,1
1.0,893.55,4,1
1.0,1930.0,3,1
1.0,1013.29,2,0
1.0,1529.95,3,1
1.0,1523.56,3,1
1.0,781.98,4,1
1.0,1454.39,3,1
1.0,659.08,4,0
1.0,550.0,1,0
1.0,1228.89,4,1
1.0,1433.02,1,0
1.0,821.43,3,1
1.0,1160.49,3,1
1.0,1168.67,2,0
1.0,550.0,3,0
1.0,862.9,4,1
1.0,1417.34,2,0
1.0,550.0,3,1
1.0,1571.7,4,1
1.0,601.46,3,1
1.0,550.0,2,1
1.0,1109.85,2,0
1.0,1536.47,2,1
1.0,895.14,3,0
1.0,786.88,3,0
1.0,590.41,1,0
1.0,550.0,5,1
1.0,615.55,4,0
1.0,1808.9,3,1
1.0,965.33,3,1
1.0,935.16,4,1
1.0,1648.71,2,1
1.0,1620.64,2,1
1.0,1531.42,4,1
1.0,665.08,3,1
1.0,1423.57,6,1
1.0,829.55,4,0
1.0,774.79,2,0
1.0,808.7,3,0
1.0,1220.57,3,1
1.0,2121.6,3,1
1.0,1546.85,3,1
1.0,1193.27,3,0
1.0,1515.07,3,1
1.0,571.69,3,0
1.0,707.14,4,1
1.0,1417.24,4,0
1.0,868.5,4,1
1.0,1538.12,3,1
1.0,1440.35,3,1
1.0,1177.49,3,1
1.0,897.6,4,1
1.0,828.83,2,0
1.0,859.96,3,0
1.0,571.99,4,1
1.0,550.0,4,0
1.0,1466.77,3,1
1.0,661.47,2,0
1.0,1173.31,1,0
1.0,1475.63,4,1
1.0,550.0,5,0
1.0,994.11,3,1
1.0,617.7,2,0
1.0,1295.39,2,0
1.0,550.0,2,0
1.0,1454.19,1,0
1.0,1496.1,2,0
1.0,1342.51,4,0
1.0,987.0,4,1
1.0,854.64,3,0
1.0,864.12,3,1
1.0,933.34,2,1
1.0,1366.15,4,1
1.0,984.08,2,0
1.0,978.82,3,0
1.0,1046.69,2,0
1.0,891.35,2,0
1.0,1447.99,3,0
1.0,931.73,2,0
1.0,759.25,4,0
1.0,1239.85,2,1
1.0,550.0,4,0
1.0,550.0,3,1
1.0,1072.97,2,0
1.0,1411.35,3,1
1.0,1063.59,2,0
1.0,1209.54,4,1
1.0,967.5,1,0
1.0,1340.86,3,1
1.0,898.42,2,0
1.0,550.0,3,0
1.0,736.06,4,1
1.0,856.29,3,0
1.0,1193.66,2,1
1.0,661.34,3,0
1.0,1681.9,4,1
1.0,550.0,2,0
1.0,550.0,4,0
1.0,550.0,1,0
1.0,1302.08,3,1
1.0,897.34,3,0
1.0,738.56,3,1
1.0,1483.89,2,0
1.0,1773.43,3,0
1.0,550.0,2,0
1.0,1313.83,4,0
1.0,1754.53,4,1
1.0,660.2,3,0
1.0,2393.06,4,1
1.0,2031.17,5,1
1.0,1190.73,2,1
1.0,946.99,3,0
1.0,1055.58,3,1
1.0,652.85,4,1
1.0,550.0,2,0
1.0,1056.18,4,0
1.0,877.32,4,0
1.0,1386.69,4,0
1.0,1492.49,3,1
1.0,2240.4,2,1
1.0,550.0,2,0
1.0,1486.55,4,0
1.0,571.47,4,1
1.0,1662.01,3,1
1.0,1284.46,2,1
1.0,1411.04,5,1
1.0,1218.0,2,0
1.0,550.0,2,0
1.0,1721.9,4,1
1.0,1048.32,2,1
1.0,761.55,5,1
1.0,550.0,3,0
1.0,2122.41,3,1
1.0,959.84,3,0
1.0,761.29,3,0
1.0,550.0,3,0
1.0,958.82,3,1
1.0,2003.66,2,1
1.0,998.15,3,0
1.0,1841.69,2,1
1.0,1243.54,3,0
1.0,550.0,4,0
1.0,550.0,2,0
1.0,1155.29,3,1
1.0,1229.67,2,0
1.0,1487.28,3,1
1.0,550.0,3,0
1.0,550.0,4,1
1.0,550.0,2,0
1.0,550.0,3,0
1.0,1134.91,4,1
1.0,1074.52,3,0
1.0,894.63,4,1
1.0,550.0,2,0
1.0,826.08,2,0
1.0,1504.65,1,0
1.0,1573.03,2,0
1.0,1530.0,3,0
1.0,1715.76,5,1
1.0,723.76,3,0
1.0,1723.02,3,0
1.0,1155.62,2,0
1.0,550.0,3,0
1.0,550.0,2,0
1.0,550.0,5,1
1.0,887.74,4,1
1.0,901.0,3,1
1.0,852.64,5,1
1.0,1065.93,2,0
1.0,1572.71,1,0
1.0,550.0,4,0
1.0,1666.59,1,1
1.0,1312.45,2,0
1.0,935.11,3,1
1.0,2009.45,5,1
1.0,1128.51,1,1
1.0,643.1,5,1
1.0,1752.42,4,1
1.0,938.82,2,1
1.0,550.0,2,0
1.0,1405.88,4,1
1.0,1214.95,2,1
1.0,639.55,3,0
1.0,706.79,2,0
1.0,733.56,1,0
1.0,550.0,2,0
1.0,1864.1,4,1
1.0,798.61,2,0
1.0,725.08,3,0
1.0,888.38,1,0
1.0,1334.33,1,1
1.0,1036.9,3,0
1.0,720.82,2,0
1.0,1213.2,3,1
1.0,1487.6,2,1
1.0,1161.44,2,0
1.0,852.09,3,0
1.0,1646.56,4,1
1.0,906.49,3,0
1.0,1125.41,2,0
1.0,901.94,3,0
1.0,1393.7,4,1
1.0,591.05,1,0
1.0,1358.27,3,1
1.0,1115.03,3,0
1.0,550.0,2,1
1.0,550.0,5,1
1.0,1030.3,3,0
1.0,550.0,2,0
1.0,1558.03,2,1
1.0,550.0,2,0
1.0,1432.58,4,0
1.0,797.81,3,0
1.0,1269.91,4,1
