Price,SquareFootage,BackyardSpace,CrimeRate,Fireplace,Garage,Fireplace_Present,Garage_Present,constant
275311.908,1608.98,922.9,18.83,No,No,0,0,1
333708.0442,627.24,76.12,12.23,Yes,Yes,1,1,1
306202.9736,550.0,510.2,59.26,Yes,No,1,0,1
180247.7314,1614.37,483.68,70.17,No,No,0,0,1
397236.8931,1368.21,64.97,49.94,No,Yes,0,1,1
160304.1753,748.56,861.18,46.92,Yes,No,1,0,1
682875.7818,1940.29,795.7,61.26,No,No,0,0,1
393215.7564,550.0,311.49,6.83,No,No,0,0,1
166673.7965,925.34,789.6,42.58,No,No,0,0,1
630994.2869,1654.51,607.02,45.26,Yes,No,1,0,1
360053.6851,1002.14,230.87,0.78,No,No,0,0,1
478799.9918,1040.5,398.24,21.78,No,Yes,0,1,1
230289.9546,1539.74,595.27,20.27,Yes,No,1,0,1
307315.345,1666.63,381.49,7.24,No,No,0,0,1
528618.8707,1112.56,915.48,47.96,No,Yes,0,1,1
98378.32224,844.84,285.84,19.26,Yes,Yes,1,1,1
692732.5812,1615.39,457.9,49.62,No,Yes,0,1,1
422653.6677,1883.99,562.14,36.72,Yes,Yes,1,1,1
606809.1906,1789.18,1146.37,23.52,No,Yes,0,1,1
257544.0629,576.07,450.58,17.39,No,Yes,0,1,1
334199.9353,1289.46,667.17,41.11,No,Yes,0,1,1
284255.1623,1046.87,296.7,16.2,No,Yes,0,1,1
108250.9154,678.79,371.5,12.69,No,No,0,0,1
138047.5627,679.42,622.02,11.39,Yes,No,1,0,1
234564.8609,934.7,490.73,29.8,Yes,No,1,0,1
252944.9569,589.22,452.4,43.84,No,No,0,0,1
170641.265,1578.36,25.03,68.22,Yes,No,1,0,1
455997.1118,1348.73,261.46,40.51,No,No,0,0,1
779931.8759,2246.07,479.74,0.41,No,No,0,0,1
211883.045,1067.3,665.83,11.73,No,No,0,0,1
370207.3866,1543.39,520.44,13.03,No,Yes,0,1,1
235334.2782,550.0,535.29,2.7,No,No,0,0,1
207397.7233,550.0,290.65,27.16,No,Yes,0,1,1
633005.2522,636.25,571.31,30.16,No,Yes,0,1,1
646806.3598,1797.71,517.93,40.12,No,No,0,0,1
220143.6872,1335.59,566.17,36.23,Yes,No,1,0,1
224349.0624,1258.66,1174.25,62.53,No,No,0,0,1
137212.5389,550.0,524.74,22.17,No,No,0,0,1
254020.7906,550.0,948.0,16.52,No,No,0,0,1
216351.837,630.03,404.23,69.15,No,Yes,0,1,1
247083.9187,1722.21,397.88,47.86,Yes,No,1,0,1
109758.7827,550.0,490.07,5.95,No,Yes,0,1,1
146397.9284,603.44,669.58,32.85,No,Yes,0,1,1
173722.5743,550.0,989.47,57.18,No,Yes,0,1,1
204115.2013,879.8,429.24,44.64,No,Yes,0,1,1
260976.6665,550.0,362.83,7.87,Yes,No,1,0,1
395125.7018,1230.69,311.8,43.25,No,Yes,0,1,1
497692.5176,2137.72,274.36,11.07,No,Yes,0,1,1
535835.6644,1057.2,156.59,4.54,Yes,Yes,1,1,1
226768.2603,913.16,371.9,73.02,Yes,No,1,0,1
310305.5598,957.72,722.53,29.57,No,Yes,0,1,1
276203.9201,1066.25,993.82,47.32,Yes,No,1,0,1
331247.0143,1441.86,864.27,40.12,Yes,No,1,0,1
374402.1233,1048.33,9.61,58.99,No,No,0,0,1
259757.602,1316.69,765.96,36.08,No,No,0,0,1
118735.8676,637.96,9.81,19.21,No,No,0,0,1
280920.0402,1368.39,418.29,36.67,No,No,0,0,1
202463.8609,1001.67,631.95,32.39,No,Yes,0,1,1
543193.7648,1812.59,641.93,52.88,No,No,0,0,1
410357.2197,939.55,468.79,16.84,No,Yes,0,1,1
173809.6441,1125.06,156.55,30.84,No,No,0,0,1
217171.6912,1269.84,509.97,25.79,No,No,0,0,1
389877.9007,1247.08,570.02,22.63,Yes,No,1,0,1
208419.3752,916.2,324.58,2.78,No,No,0,0,1
370495.3218,1375.84,419.82,26.18,No,Yes,0,1,1
103212.0744,550.0,458.89,49.0,No,No,0,0,1
127574.0886,732.92,53.89,39.45,No,No,0,0,1
166450.4353,975.15,1133.12,10.18,No,Yes,0,1,1
309631.4746,1868.73,455.84,51.17,No,No,0,0,1
196204.535,909.16,841.63,14.46,No,No,0,0,1
249538.9243,979.58,305.22,18.19,No,Yes,0,1,1
799996.2481,1931.09,1132.38,8.75,No,No,0,0,1
544763.5776,1769.01,388.99,12.43,No,Yes,0,1,1
312296.6703,936.96,273.26,64.24,No,No,0,0,1
164903.4879,873.02,32.49,6.9,No,No,0,0,1
182897.1964,937.32,237.97,5.04,Yes,No,1,0,1
375795.8439,891.62,453.52,55.85,Yes,No,1,0,1
150830.2384,550.0,492.41,8.63,Yes,Yes,1,1,1
98879.35132,550.0,264.21,41.57,Yes,No,1,0,1
304631.685,696.5,681.04,32.57,No,No,0,0,1
225726.3565,550.0,1043.79,46.13,Yes,Yes,1,1,1
155684.9643,550.0,760.75,42.44,No,No,0,0,1
299223.8467,1457.95,354.82,43.05,No,No,0,0,1
415007.0335,696.81,743.16,54.19,Yes,No,1,0,1
142240.2358,1041.16,433.62,67.75,No,Yes,0,1,1
374959.758,1655.1,648.73,8.28,No,Yes,0,1,1
229519.262,1509.02,197.52,15.76,No,Yes,0,1,1
255087.7075,561.16,497.27,35.22,No,Yes,0,1,1
379489.2465,1331.4,554.89,8.65,Yes,No,1,0,1
216757.3556,1404.98,354.11,12.46,Yes,Yes,1,1,1
160474.9654,550.0,527.12,22.66,No,Yes,0,1,1
253375.0876,869.01,352.77,28.99,No,No,0,0,1
254400.6244,765.65,670.46,12.9,No,Yes,0,1,1
120748.6048,1099.81,460.05,74.47,No,Yes,0,1,1
210881.4665,1481.33,373.24,21.49,No,No,0,0,1
308427.1324,550.0,1387.95,31.81,No,Yes,0,1,1
655324.1759,1356.47,748.5,32.25,No,No,0,0,1
969059.6957,1259.29,502.8,29.5,No,No,0,0,1
461748.4582,1173.15,425.96,34.46,Yes,Yes,1,1,1
233971.9901,550.0,499.04,68.61,No,Yes,0,1,1
748256.0279,1842.17,630.94,56.05,No,No,0,0,1
227469.3042,1301.32,701.13,3.54,Yes,Yes,1,1,1
319230.5488,1010.17,362.01,59.67,No,No,0,0,1
136281.9799,1167.09,498.37,35.05,No,No,0,0,1
362981.6337,550.0,510.13,36.6,No,No,0,0,1
284596.5952,1219.82,534.57,21.92,No,No,0,0,1
241041.2506,1154.99,519.21,21.72,No,No,0,0,1
149161.886,925.54,300.08,36.94,No,No,0,0,1
276656.5065,1995.41,43.38,73.03,No,No,0,0,1
410697.6667,939.61,419.2,10.14,No,No,0,0,1
353477.4283,1655.56,928.97,28.7,No,No,0,0,1
356183.7097,1653.71,293.07,23.44,No,No,0,0,1
798826.0426,2069.92,346.49,23.31,No,No,0,0,1
222852.3977,550.0,190.53,67.53,No,No,0,0,1
249815.1871,1592.1,134.74,55.69,No,No,0,0,1
166987.0495,1177.13,282.06,59.04,No,Yes,0,1,1
145718.0224,550.0,859.66,53.61,No,No,0,0,1
217954.655,550.0,86.82,14.42,Yes,No,1,0,1
442071.1893,1952.56,541.56,24.88,Yes,Yes,1,1,1
319396.2929,974.62,96.39,0.56,Yes,Yes,1,1,1
404764.9182,1442.25,564.09,10.33,Yes,No,1,0,1
720948.6752,2170.86,929.36,0.92,No,No,0,0,1
151561.3852,700.38,563.56,28.13,No,Yes,0,1,1
129968.5095,943.64,464.64,0.66,Yes,No,1,0,1
280525.7092,955.04,832.77,33.79,No,No,0,0,1
358729.7227,736.19,293.57,40.65,No,No,0,0,1
704512.7722,1939.46,845.15,13.31,Yes,Yes,1,1,1
470238.5325,1362.96,834.44,57.37,No,No,0,0,1
284396.0632,550.0,1527.6,27.49,No,No,0,0,1
455562.132,1255.38,482.12,54.16,Yes,No,1,0,1
448231.5409,1588.03,124.47,5.1,Yes,Yes,1,1,1
261273.8014,1505.35,343.48,32.63,Yes,No,1,0,1
274343.871,550.0,609.95,28.31,Yes,No,1,0,1
354094.8412,550.0,285.58,33.56,No,No,0,0,1
110505.7101,654.07,1022.08,8.29,No,No,0,0,1
171977.7174,1012.69,455.09,4.18,Yes,No,1,0,1
178009.8491,1052.32,590.87,28.25,No,Yes,0,1,1
130890.354,728.55,322.41,12.46,No,No,0,0,1
271626.442,1381.83,768.86,6.93,No,Yes,0,1,1
249751.8563,1236.0,384.98,23.15,No,No,0,0,1
101762.9942,1168.46,13.21,29.58,No,No,0,0,1
401584.651,600.25,641.45,19.99,Yes,Yes,1,1,1
207601.5597,904.42,334.34,30.02,No,No,0,0,1
165832.1784,550.0,603.4,56.31,No,No,0,0,1
370626.9651,1723.29,439.27,24.06,No,Yes,0,1,1
229867.2818,742.01,307.52,49.15,No,No,0,0,1
261299.0612,876.01,255.08,7.12,No,No,0,0,1
201083.057,920.33,1027.77,42.05,No,No,0,0,1
289915.2581,662.53,26.01,46.56,No,Yes,0,1,1
500787.2489,1437.02,1230.93,7.73,No,No,0,0,1
453167.7797,1057.49,821.7,81.73,Yes,No,1,0,1
468592.981,1412.1,331.92,44.88,No,Yes,0,1,1
643648.7488,1865.64,542.84,22.83,No,No,0,0,1
284846.2384,1343.09,295.45,22.15,No,No,0,0,1
165266.5131,561.26,1131.07,34.14,Yes,Yes,1,1,1
113423.8569,1154.96,210.5,8.02,No,No,0,0,1
400906.5969,1138.68,491.93,73.34,No,Yes,0,1,1
390164.8623,1806.26,1332.11,20.55,No,No,0,0,1
187995.7479,550.0,241.85,41.95,No,No,0,0,1
334882.4909,762.18,774.24,7.18,No,Yes,0,1,1
133991.8721,1021.28,31.4,14.06,No,No,0,0,1
384299.924,1257.82,479.92,8.17,No,No,0,0,1
173253.2882,768.6,852.11,41.28,No,No,0,0,1
365160.8737,1705.01,514.98,19.13,No,No,0,0,1
315110.2214,1318.78,230.0,16.96,No,No,0,0,1
544722.7857,1396.01,554.38,67.25,No,No,0,0,1
103024.6398,664.28,392.33,39.91,Yes,Yes,1,1,1
236584.1873,964.97,392.99,33.85,No,No,0,0,1
407629.4936,785.82,601.04,29.56,No,Yes,0,1,1
506388.8471,801.77,135.67,36.55,Yes,No,1,0,1
297285.8169,1281.8,858.82,50.4,No,No,0,0,1
290957.0203,1033.09,127.95,2.94,Yes,No,1,0,1
350479.6175,1169.45,463.43,21.98,No,Yes,0,1,1
179465.1961,550.0,685.98,24.34,No,Yes,0,1,1
510530.1082,1125.23,276.16,38.18,No,No,0,0,1
447293.5671,1261.09,598.7,22.74,No,No,0,0,1
312074.1011,586.41,538.83,50.89,No,No,0,0,1
143197.3936,1225.68,277.91,50.76,No,No,0,0,1
118334.6332,550.0,304.02,61.17,Yes,No,1,0,1
99325.70034,796.75,490.35,61.69,No,Yes,0,1,1
104773.5017,550.0,420.78,41.66,No,Yes,0,1,1
236450.6019,748.14,969.1,1.62,No,No,0,0,1
163532.6969,782.04,463.51,52.54,No,Yes,0,1,1
452987.9875,1581.56,622.55,17.49,No,No,0,0,1
313470.0031,826.67,670.5,12.81,No,No,0,0,1
380770.1555,1151.93,372.65,65.77,No,Yes,0,1,1
411243.601,1231.08,869.92,61.57,No,No,0,0,1
256564.7699,550.0,163.52,60.43,Yes,No,1,0,1
251183.1563,1162.8,521.97,19.53,No,No,0,0,1
155965.7046,1062.47,78.23,8.68,Yes,No,1,0,1
180707.6909,810.88,413.01,45.42,Yes,No,1,0,1
206294.6469,643.02,88.0,45.33,No,No,0,0,1
93883.51932,550.0,605.29,10.07,No,No,0,0,1
172888.1978,550.0,274.41,4.6,No,No,0,0,1
232326.4253,550.0,331.95,29.97,No,Yes,0,1,1
210467.5593,1208.45,672.11,16.9,Yes,No,1,0,1
237388.69,550.0,30.73,36.44,No,No,0,0,1
497529.3938,1370.13,350.81,60.61,No,No,0,0,1
137084.6115,576.05,705.36,33.8,No,No,0,0,1
312374.5689,1295.0,369.44,42.76,No,No,0,0,1
530691.8255,676.49,660.64,37.66,No,Yes,0,1,1
238569.6214,965.44,602.92,43.53,Yes,No,1,0,1
272776.072,939.03,300.77,50.24,Yes,Yes,1,1,1
280135.5817,1085.52,83.35,61.43,No,No,0,0,1
574520.8943,1953.8,734.01,21.96,No,No,0,0,1
162605.8875,690.37,685.37,8.53,No,No,0,0,1
282254.4151,963.92,101.38,58.49,No,No,0,0,1
523913.4523,1499.56,103.21,50.21,No,No,0,0,1
268097.0147,550.0,644.33,29.23,No,No,0,0,1
330576.3618,1247.11,621.73,29.86,No,Yes,0,1,1
262653.3923,878.0,257.23,44.28,No,Yes,0,1,1
162547.0472,550.0,55.33,11.54,No,Yes,0,1,1
274124.9918,1403.53,1128.16,36.97,No,Yes,0,1,1
175680.1302,906.93,851.72,40.62,No,No,0,0,1
177882.2157,550.0,236.62,20.36,No,Yes,0,1,1
340979.9018,661.11,400.51,44.34,No,Yes,0,1,1
111889.5615,1280.96,69.82,14.58,No,Yes,0,1,1
358367.7787,1778.96,205.22,27.53,No,Yes,0,1,1
265278.7319,1320.1,581.23,25.26,No,Yes,0,1,1
323896.9028,858.35,116.84,47.3,Yes,No,1,0,1
620197.351,1956.12,740.73,17.69,No,Yes,0,1,1
134130.7502,550.0,91.06,63.37,No,No,0,0,1
304931.3849,1110.45,525.42,42.13,No,Yes,0,1,1
335756.0143,1164.13,327.22,47.36,No,Yes,0,1,1
372249.6346,1651.53,187.64,2.02,No,No,0,0,1
520589.6866,1590.37,935.42,41.33,No,No,0,0,1
411343.6274,603.82,431.28,40.73,No,Yes,0,1,1
571526.5617,1647.31,49.35,6.45,No,No,0,0,1
245104.5692,873.9,232.09,41.15,No,No,0,0,1
235613.132,550.0,849.95,18.98,No,No,0,0,1
108935.8619,988.76,1313.59,20.57,No,No,0,0,1
497908.5102,1891.21,490.88,11.61,No,No,0,0,1
174200.3734,1180.83,460.01,12.76,No,No,0,0,1
322341.8634,1272.81,869.23,33.62,No,Yes,0,1,1
145942.1369,1044.43,177.81,15.89,No,No,0,0,1
118104.4673,550.0,744.78,23.32,No,Yes,0,1,1
412440.005,1617.38,499.12,77.41,No,No,0,0,1
238343.9376,577.36,771.92,39.47,No,No,0,0,1
122930.8342,550.0,734.61,32.58,No,Yes,0,1,1
246206.4743,550.0,94.14,39.33,No,No,0,0,1
147760.8634,550.0,977.1,75.51,No,No,0,0,1
165566.0579,550.0,649.67,9.63,Yes,No,1,0,1
109258.2332,874.34,631.09,60.21,Yes,No,1,0,1
527307.9088,550.0,1021.67,23.11,No,No,0,0,1
780190.8628,2068.82,617.05,37.98,No,Yes,0,1,1
157587.7771,550.0,686.21,43.98,Yes,No,1,0,1
235908.2389,1162.7,749.35,30.6,No,No,0,0,1
161223.6344,550.0,241.35,49.3,No,No,0,0,1
201849.2072,1100.88,388.99,37.59,No,No,0,0,1
123104.0484,734.59,978.95,5.72,Yes,No,1,0,1
155727.5636,550.0,554.0,4.07,Yes,No,1,0,1
421368.8869,1726.12,943.19,34.06,No,Yes,0,1,1
111529.805,1262.83,708.0,46.48,Yes,No,1,0,1
565338.9769,1207.93,449.39,3.65,Yes,Yes,1,1,1
363985.391,778.54,861.69,25.78,No,No,0,0,1
733103.4288,1377.9,758.06,43.93,No,No,0,0,1
316592.6204,1386.37,590.93,48.09,No,Yes,0,1,1
172521.4329,642.36,505.06,23.25,No,No,0,0,1
258308.4169,860.54,525.04,23.29,No,No,0,0,1
175781.7126,550.0,385.1,30.07,No,Yes,0,1,1
192044.4362,708.47,607.66,1.93,No,No,0,0,1
193488.1005,816.16,576.84,1.27,Yes,Yes,1,1,1
305813.1243,1214.59,250.64,27.82,No,No,0,0,1
103436.2248,550.0,885.91,30.13,No,No,0,0,1
242450.3356,550.0,492.35,37.58,No,Yes,0,1,1
675749.7362,1726.85,823.07,14.61,No,No,0,0,1
318126.9653,1143.1,286.66,45.32,Yes,Yes,1,1,1
206316.8392,550.0,381.77,7.15,No,Yes,0,1,1
397238.4498,1653.32,294.97,52.73,No,No,0,0,1
115156.9002,550.0,851.91,16.6,No,No,0,0,1
233534.837,1332.25,312.96,26.55,No,Yes,0,1,1
265015.4048,1184.13,569.38,20.35,No,No,0,0,1
542916.9681,957.1,803.31,44.63,No,Yes,0,1,1
314737.1867,550.0,392.51,8.96,No,Yes,0,1,1
234433.7794,725.74,710.46,23.4,No,No,0,0,1
204687.7228,1119.65,880.94,23.73,No,Yes,0,1,1
624004.5467,1333.3,564.93,40.56,No,No,0,0,1
192100.1045,879.37,738.28,3.07,No,No,0,0,1
220351.6395,550.0,674.68,23.03,Yes,No,1,0,1
679097.4556,2010.62,483.35,5.37,No,Yes,0,1,1
205922.9258,550.0,383.02,91.47,No,No,0,0,1
145164.6243,982.12,906.47,37.93,Yes,No,1,0,1
336955.922,1198.87,386.34,18.69,No,No,0,0,1
466709.337,831.53,673.58,13.15,Yes,No,1,0,1
324337.8834,1486.63,1054.01,21.19,Yes,No,1,0,1
445058.7417,1366.81,659.3,34.34,No,No,0,0,1
340097.7088,821.19,461.33,59.45,No,Yes,0,1,1
257093.7751,1258.17,402.12,0.88,No,No,0,0,1
352999.1133,1690.71,398.24,30.13,No,No,0,0,1
152467.1669,550.0,103.49,70.32,No,No,0,0,1
511448.6747,728.22,676.73,33.2,No,No,0,0,1
248336.565,550.0,536.78,23.87,No,Yes,0,1,1
155146.8993,639.37,524.67,35.1,No,Yes,0,1,1
177944.3403,891.4,81.12,43.9,No,No,0,0,1
277389.5276,907.52,288.04,55.84,No,No,0,0,1
126108.4073,662.79,403.94,65.46,No,Yes,0,1,1
405334.8917,1228.64,634.83,31.0,No,No,0,0,1
129571.1343,550.0,179.5,42.87,No,Yes,0,1,1
503922.7306,1025.74,15.99,16.47,Yes,Yes,1,1,1
631038.2748,1301.89,614.3,49.21,No,Yes,0,1,1
516799.3191,1866.75,298.67,16.52,No,No,0,0,1
142639.1425,908.42,14.54,48.12,No,No,0,0,1
202084.3426,732.5,149.54,18.9,No,No,0,0,1
348991.4784,1398.64,117.0,24.14,No,No,0,0,1
235364.9007,575.16,829.79,42.17,No,No,0,0,1
342576.4266,1058.22,354.82,30.52,No,Yes,0,1,1
184100.4687,628.32,273.04,3.83,No,Yes,0,1,1
461983.6949,1629.07,363.24,22.94,No,No,0,0,1
266465.0939,1139.31,882.94,65.66,No,Yes,0,1,1
264687.482,1480.25,104.53,20.92,Yes,Yes,1,1,1
203962.6062,658.34,606.72,36.31,Yes,Yes,1,1,1
241942.875,623.77,329.5,36.93,No,No,0,0,1
164491.9501,576.65,296.65,26.53,No,No,0,0,1
135815.7113,550.0,596.38,40.74,Yes,No,1,0,1
330861.4805,550.0,388.17,29.39,No,No,0,0,1
387483.377,1709.55,564.85,6.4,No,Yes,0,1,1
252928.8126,1139.91,273.39,43.69,No,No,0,0,1
497905.6963,969.5,1020.08,6.17,Yes,No,1,0,1
551289.4411,550.0,273.64,46.48,Yes,No,1,0,1
165425.0982,793.35,765.13,34.88,No,Yes,0,1,1
393815.2236,1116.57,55.32,60.8,No,No,0,0,1
646182.2465,1310.88,499.31,24.53,No,No,0,0,1
296121.6951,1289.15,381.0,13.69,No,No,0,0,1
432179.2694,1885.27,385.69,34.29,Yes,Yes,1,1,1
401065.9409,765.63,491.0,47.8,Yes,No,1,0,1
214089.6239,968.74,349.9,1.9,No,No,0,0,1
407852.18,1489.29,489.36,21.6,No,Yes,0,1,1
405574.4351,1858.88,126.44,54.62,Yes,No,1,0,1
129485.9721,752.01,660.36,43.6,No,No,0,0,1
280418.7304,1417.48,617.68,49.7,Yes,Yes,1,1,1
323691.9893,1594.27,616.64,35.59,No,No,0,0,1
102580.7852,611.64,583.16,25.03,No,Yes,0,1,1
107330.1073,859.94,531.17,27.48,No,No,0,0,1
302811.6508,1491.55,394.18,53.75,No,No,0,0,1
524598.9768,1446.86,608.95,55.05,No,Yes,0,1,1
154684.3011,550.0,770.54,90.25,Yes,No,1,0,1
158109.1568,908.6,553.36,31.84,No,No,0,0,1
369157.1951,1423.6,269.11,35.1,Yes,No,1,0,1
244766.5398,1574.03,799.67,37.89,No,No,0,0,1
169536.3962,550.0,656.92,56.88,No,Yes,0,1,1
278642.1448,677.71,169.54,64.36,No,No,0,0,1
423641.3572,690.37,694.65,10.43,Yes,Yes,1,1,1
354961.7707,2170.18,223.46,4.33,No,No,0,0,1
244662.9562,1840.34,426.25,47.4,Yes,No,1,0,1
343336.0697,1632.39,302.13,56.08,Yes,Yes,1,1,1
214297.0732,1005.43,85.53,53.07,Yes,Yes,1,1,1
266337.8745,998.18,358.05,4.74,No,No,0,0,1
244814.255,1093.75,558.96,20.56,No,No,0,0,1
415681.7376,1348.39,529.29,45.88,No,Yes,0,1,1
521954.8921,581.94,518.23,31.61,Yes,Yes,1,1,1
283519.0624,550.0,823.43,24.37,Yes,No,1,0,1
343053.3563,1302.39,384.91,32.64,Yes,No,1,0,1
623993.8792,1625.16,583.95,42.91,No,No,0,0,1
88580.3812,1205.99,507.84,9.83,No,Yes,0,1,1
269536.7121,550.0,369.96,47.57,No,No,0,0,1
229785.0799,1269.8,226.61,55.91,No,No,0,0,1
232594.7678,1463.33,293.14,40.32,Yes,Yes,1,1,1
327626.1061,771.18,95.67,57.62,No,No,0,0,1
248086.4852,757.67,940.59,24.01,No,Yes,0,1,1
168532.7932,768.03,647.89,33.47,No,No,0,0,1
240754.6703,550.0,31.81,42.39,No,No,0,0,1
317898.9263,918.94,234.47,25.49,No,No,0,0,1
251869.3825,760.38,412.28,18.79,Yes,No,1,0,1
327448.2674,888.96,638.0,1.9,Yes,Yes,1,1,1
149402.0683,1610.1,98.2,61.7,No,No,0,0,1
182818.7408,550.0,206.6,31.93,No,Yes,0,1,1
351747.2649,1505.2,272.18,28.07,No,Yes,0,1,1
214596.5987,1204.99,870.73,4.26,No,No,0,0,1
658461.7223,1745.5,140.84,23.53,No,No,0,0,1
492994.8442,2269.73,392.97,82.91,Yes,Yes,1,1,1
219968.9935,550.0,959.25,7.5,Yes,No,1,0,1
283743.8872,708.12,427.97,41.58,No,No,0,0,1
303853.3608,1646.72,581.83,41.02,No,Yes,0,1,1
252796.5789,614.7,693.29,11.43,Yes,No,1,0,1
368824.7083,720.33,550.78,25.88,No,Yes,0,1,1
419123.8418,1025.38,624.94,19.95,No,No,0,0,1
187888.8282,1456.45,618.87,2.93,No,No,0,0,1
356569.8677,1395.58,299.59,38.98,No,Yes,0,1,1
347052.8596,550.0,360.74,23.23,No,No,0,0,1
189564.2486,1055.06,890.91,68.04,No,Yes,0,1,1
284318.2353,1659.19,719.3,13.26,No,No,0,0,1
202859.3176,1098.69,158.8,61.59,Yes,No,1,0,1
361331.6827,1809.95,863.25,18.64,No,No,0,0,1
713993.1241,1326.29,174.91,13.25,Yes,Yes,1,1,1
191718.172,651.05,421.03,62.73,No,No,0,0,1
229928.759,550.0,814.66,17.2,No,No,0,0,1
150695.0969,870.25,803.11,15.34,Yes,No,1,0,1
336337.6459,1450.56,691.7,32.15,No,No,0,0,1
344786.63,550.0,1082.84,16.95,No,No,0,0,1
280494.9248,1195.22,914.73,43.56,No,No,0,0,1
360491.2038,550.0,795.43,10.86,Yes,No,1,0,1
300740.9772,1168.86,288.52,37.34,No,Yes,0,1,1
550091.5551,1242.17,584.2,17.32,No,No,0,0,1
236691.7614,917.28,662.34,10.57,No,No,0,0,1
123575.9347,550.0,684.01,51.3,No,Yes,0,1,1
260356.7383,1139.91,256.02,20.86,No,No,0,0,1
323646.6032,939.78,568.73,45.63,No,Yes,0,1,1
98622.30842,550.0,1089.85,50.56,No,Yes,0,1,1
652902.385,895.52,424.22,38.5,No,Yes,0,1,1
313766.7632,550.0,692.32,28.71,Yes,No,1,0,1
190662.9313,747.84,692.21,39.76,No,Yes,0,1,1
485170.8378,1599.49,726.01,10.54,No,No,0,0,1
207331.9679,823.7,736.53,31.76,No,No,0,0,1
111298.1421,550.0,59.73,4.79,No,No,0,0,1
169416.882,678.06,383.89,38.64,No,Yes,0,1,1
232506.3177,550.0,520.0,1.79,No,No,0,0,1
610064.7447,1965.15,860.28,33.12,No,No,0,0,1
256123.2288,770.2,443.68,45.32,No,No,0,0,1
822630.8227,1809.96,826.48,39.12,No,Yes,0,1,1
201575.1283,884.33,119.82,3.99,No,Yes,0,1,1
319705.9149,755.0,807.85,7.79,Yes,No,1,0,1
509492.6003,1212.97,663.54,8.45,Yes,Yes,1,1,1
